2017-07-27 18:20:35,726 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742048_1224, duration(ns): 4562161072
2017-07-27 18:20:40,293 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742049_1225, duration(ns): 4531811039
2017-07-27 18:20:44,926 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742050_1226, duration(ns): 4606953517
2017-07-27 18:20:49,609 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742051_1227, duration(ns): 4661705827
2017-07-27 18:20:54,287 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742052_1228, duration(ns): 4653119179
2017-07-27 18:20:58,801 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742053_1229, duration(ns): 4489796002
2017-07-27 18:21:03,289 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742054_1230, duration(ns): 4466073777
2017-07-27 18:21:07,744 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742055_1231, duration(ns): 4435184432
2017-07-27 18:21:12,452 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742056_1232, duration(ns): 4681331895
2017-07-27 18:21:17,084 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742057_1233, duration(ns): 4602092257
2017-07-27 18:21:21,666 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47358, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-2091751233_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742058_1234, duration(ns): 4548527943
